Room NAT IMADA semi,Room U154,Room U151,Room U163,Room U152,Room U174,Room U181,Room U141,Room U164,Room U145,Room U142,Room U7,Room U17,Room U180
Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4
"(8, 9)",['DM872-T'],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],['busy'],[],['busy'],[],"(8, 9)",[],['DM872-T'],[],['busy'],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],['busy'],[],[],[],"(8, 9)",[],[],['busy'],['busy'],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",['busy'],['busy'],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",['busy'],[],[],[],['busy'],"(8, 9)",[],[],[],[],[],"(8, 9)",[],['busy'],[],[],[],"(8, 9)",[],[],[],[],[]
"(9, 10)",['DM872-T'],[],[],[],[],"(9, 10)",[],[],[],[],[],"(9, 10)",[],['busy'],[],['busy'],[],"(9, 10)",[],['DM872-T'],['busy'],['busy'],[],"(9, 10)",['busy'],[],[],[],[],"(9, 10)",[],['busy'],[],[],[],"(9, 10)",[],[],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],[],[],[],"(9, 10)",[],[],[],[],[],"(9, 10)",['busy'],[],[],[],['busy'],"(9, 10)",[],[],[],[],[],"(9, 10)",[],['busy'],[],[],[],"(9, 10)",[],[],['busy'],[],[]
"(10, 11)",[],[],[],[],[],"(10, 11)",[],[],['busy'],['busy'],[],"(10, 11)",[],[],[],[],[],"(10, 11)",[],[],['busy'],['busy'],[],"(10, 11)",[],[],[],[],[],"(10, 11)",[],['busy'],[],[],[],"(10, 11)",[],[],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],[],['busy'],['busy'],"(10, 11)",['busy'],['busy'],[],[],[],"(10, 11)",['DM876-I'],['busy'],[],['busy'],[],"(10, 11)",['busy'],['busy'],['busy'],['busy'],[],"(10, 11)",[],[],[],[],[],"(10, 11)",[],[],['busy'],['busy'],['busy'],"(10, 11)",[],[],['busy'],[],[]
"(11, 12)",[],[],[],[],[],"(11, 12)",[],[],['busy'],['busy'],[],"(11, 12)",[],[],[],[],[],"(11, 12)",[],[],['busy'],['busy'],[],"(11, 12)",[],[],[],[],[],"(11, 12)",[],['busy'],[],[],[],"(11, 12)",[],[],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],[],['busy'],['busy'],"(11, 12)",['busy'],['busy'],[],[],[],"(11, 12)",['DM876-I'],['busy'],[],['busy'],[],"(11, 12)",['busy'],['busy'],['busy'],['busy'],[],"(11, 12)",[],[],[],[],[],"(11, 12)",[],[],['busy'],['busy'],['busy'],"(11, 12)",[],[],['busy'],[],[]
"(12, 13)",[],[],[],[],[],"(12, 13)",['busy'],[],['busy'],['busy'],['busy'],"(12, 13)",[],[],[],['busy'],[],"(12, 13)",['DM865-I'],[],[],['busy'],[],"(12, 13)",[],[],[],[],[],"(12, 13)",[],['busy'],[],[],[],"(12, 13)",[],['busy'],['busy'],[],[],"(12, 13)",[],[],['busy'],['busy'],[],"(12, 13)",['busy'],[],[],['busy'],[],"(12, 13)",[],['busy'],[],[],[],"(12, 13)",[],[],[],[],[],"(12, 13)",[],[],['busy'],[],[],"(12, 13)",['busy'],[],[],[],[],"(12, 13)",[],[],[],[],[]
"(13, 14)",[],[],[],[],[],"(13, 14)",['busy'],[],['busy'],[],[],"(13, 14)",[],[],[],['busy'],[],"(13, 14)",['DM865-I'],[],[],['busy'],[],"(13, 14)",[],[],[],[],[],"(13, 14)",[],['busy'],[],[],[],"(13, 14)",[],['busy'],['busy'],[],[],"(13, 14)",[],[],['busy'],['busy'],[],"(13, 14)",['busy'],[],[],['busy'],[],"(13, 14)",[],['busy'],[],[],[],"(13, 14)",[],[],[],[],[],"(13, 14)",[],[],['busy'],[],[],"(13, 14)",['busy'],[],[],[],[],"(13, 14)",[],[],[],[],[]
"(14, 15)",[],[],[],[],[],"(14, 15)",[],[],[],[],[],"(14, 15)",[],[],[],['busy'],[],"(14, 15)",[],[],[],['busy'],[],"(14, 15)",[],[],[],[],[],"(14, 15)",[],['busy'],[],[],[],"(14, 15)",[],['busy'],[],[],[],"(14, 15)",['busy'],['busy'],[],['busy'],[],"(14, 15)",['busy'],[],[],[],[],"(14, 15)",[],['busy'],[],[],[],"(14, 15)",[],[],[],[],[],"(14, 15)",[],[],['busy'],[],[],"(14, 15)",[],[],[],[],[],"(14, 15)",[],[],[],[],[]
"(15, 16)",[],[],[],[],[],"(15, 16)",[],[],[],[],[],"(15, 16)",[],[],[],[],[],"(15, 16)",[],[],[],['busy'],[],"(15, 16)",[],[],[],[],[],"(15, 16)",[],['busy'],[],[],[],"(15, 16)",[],['busy'],[],[],[],"(15, 16)",['busy'],['busy'],[],['busy'],[],"(15, 16)",['busy'],[],[],[],[],"(15, 16)",[],['busy'],[],[],[],"(15, 16)",[],[],[],[],[],"(15, 16)",[],[],['busy'],[],[],"(15, 16)",[],[],[],[],[],"(15, 16)",[],[],[],[],[]
"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],['busy'],[],['busy'],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],['DM876-T'],"(16, 17)",[],[],[],[],[]
"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],['busy'],[],['busy'],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],['DM876-T'],"(17, 18)",[],[],[],[],[]
